A1,centre_lon,centre_lat,avg_result
0.0,-6.352077147598139,49.8859481769574,0
0.0,-6.28267254272897,49.8885373817449,0
0.0,-6.356121648555834,49.93078789271393,0
0.0,-6.286653033960608,49.93338118711554,0
2.04042,-5.243511148962318,49.96729097961222,0
0.00275,-5.173901471111552,49.96921841493074,0
0.0,-6.360176329862456,49.97562701833375,0
0.0,-6.29064354577962,49.97822440988551,0
37.73131,-5.246535477649796,50.0121878170211,0.068525
1.3419,-5.176861168496825,50.01411830206109,0
2.8291,-5.107179388959458,50.01600700304483,0
0.0,-5.03749030151,50.01785390932162,0
0.0,-5.737517633096874,50.04237853527679,0
44.07083,-5.66783554907695,50.04460470657212,0
12.080810000000001,-5.598144832375837,50.04678910924438,0
2.73656,-5.528445645168292,50.0489317309754,0
2.9245,-5.319298884119124,50.05510879083423,2.710667857142861
36.56072,-5.249567439102938,50.05708417028022,0
17.172520000000002,-5.179828336285623,50.0590177106924,3.1518
24.063660000000002,-5.110081738558047,50.06090940115345,4.1938200000000005
0.41313999999999995,-5.040327808922113,50.06275923098027,0
0.15636,-5.741011213869336,50.08725113116212,0
15.49644,-5.67126436059498,50.08948082464192,0
47.0403,-5.601508846296565,50.09166868373012,0
10.20386,-5.531744833676241,50.09381469607106,0
0.0,-5.46197248556207,50.09591884954273,0
15.71141,-5.392191964905705,50.09798113225691,0
46.155409999999996,-5.322403434780019,50.10000153255957,0
28.770020000000002,-5.252607058376705,50.10198003903088,0
30.9604,-5.182802999003923,50.10391664048561,0
35.23859,-5.112991420083908,50.10581132597315,0
0.0,-5.043172485150594,50.10766408477789,0
0.0,-5.744513618260861,50.13212319895694,0
5.93083,-5.67470183315807,50.13435642115819,0
33.423390000000005,-5.604881358560035,50.13654774307878,0
36.3058,-5.53505235769863,50.13869715232541,0
33.4875,-5.465214993932383,50.14080463673912,0
36.77618,-5.39536943074408,50.14287018439556,0
31.35701,-5.325515831738405,50.14489378360512,0
35.699329999999996,-5.255654360639534,50.14687542291323,0
21.58238,-5.185785181288764,50.14881509110051,0
49.61522,-5.115908457642093,50.15071277718303,0
25.23088,-5.046024353767862,50.15256847041245,0
66.10583000000001,-4.976133033844291,50.15438216027626,0
10.69317,-5.678147995237498,50.17923149563246,0
0.0,-3.717043088098583,50.17983543429285,0
11.0699,-5.60826239710776,50.18142628682415,0
4.01316,-5.538368244646554,50.18357909929406,0
8.7548,-5.46846570174521,50.18568992084619,0
7.76905,-5.398554932420044,50.18775873951979,0
44.866440000000004,-5.328636100809938,50.18978554358965,0
51.91603,-5.258709371173945,50.19177032156619,0
8.21313,-5.188774907888887,50.19371306219583,0
49.57653,-5.118832875446944,50.1956137544611,0
61.772330000000004,-5.048883438453247,50.19747238758088,0
193.98298,-4.978926761623445,50.19928895101058,0
16.96604,-4.908963009781314,50.20106343444235,0
0.0,-4.8389923478563,50.20279582780528,0
0.0,-4.769014940881092,50.20448612126551,0
37.21908,-3.858770113330591,50.22262480334557,0
99.64457,-3.788715656093246,50.2237247988099,0
238.71436,-3.718656940023096,50.22478257543191,0
22.493000000000002,-3.648594131471505,50.22579812719348,0
0.0,-5.541692522055386,50.22846053653109,0
0.0,-5.471724636002402,50.23057470143949,0
13.618070000000001,-5.401748496401242,50.23264679722632,0
88.80096999999999,-5.331764267927395,50.23467681213051,0
40.11915,-5.261772115377178,50.23666473462741,1.0763933333333342
22.36597,-5.191772203665366,50.23861055342908,0
48.271370000000005,-5.121764697822727,50.24051425748439,0
