"","sample.sampleDateTime","result"
"320",15299,2.29
"321",15300,2.5
"322",15306,3.23
"323",15307,2.95
"324",15317,3.8
"325",15321,4.36
"326",15344,16
"327",15349,8.37
"328",15351,5.87
"329",15357,3.86
"330",15364,11.7
"331",15373,9.58
"332",15380,5.26
"333",15386,17.3
"334",15397,4.82
"335",15398,4.37
"336",15399,4.33
"337",15408,14.2
"338",15411,10.9
"339",15414,8.06
"340",15422,5.76
"341",15427,3.74
"342",15440,3.78
"343",15446,5.26
"344",15453,9.18
"345",15462,7.95
"346",15468,6.66
"347",15474,6.57
"348",15481,3.62
"349",15490,2.57
"350",15497,2.63
"351",15505,3.71
"352",15510,2.38
"353",15516,5.04
"354",15526,1.7
"355",15533,6.34
"356",15537,5.09
"357",15540,3.6
"358",15548,2.08
"359",15554,2.02
"360",15561,2.47
"361",15567,1.99
"362",15567,1.95
"363",15573,1.64
"364",15583,1.77
"365",15583,1.68
"366",15589,1.7
"367",15596,1.81
"368",15600,2.07
"369",15608,3.18
"370",15615,2.59
"371",15621,21.1
"372",15625,9.2
"373",15631,4.93
"374",15638,14
"375",15645,14.1
"376",15652,15
"377",15657,9.6
"378",15666,6.41
"379",15673,16.3
"380",15680,15.8
"381",15687,13.1
"382",15687,12.8
"383",15708,10.8
"384",15714,9.97
"385",15719,10.8
"386",15729,13.4
"387",15735,9.39
"388",15742,9.49
"389",15750,6.98
"390",15755,8.85
"391",15763,6.42
"392",15765,6.43
"393",15769,6.28
"394",15775,13.5
"395",15783,9.63
"396",15791,8.97
"397",15800,5.59
"398",15806,5.05
"399",15812,7.97
"400",15817,4.7
"401",15824,6.6
"402",15832,1.93
"403",15842,3.34
"404",15847,2.07
"405",15856,3.77
"406",15863,2.12
"407",15870,2.76
"408",15877,2.57
"409",15883,2.5
"410",15889,2.97
"411",15894,2.79
"412",15901,2.18
"413",15912,2.2
"414",15917,2.42
"415",15922,2.56
"416",15931,2.52
"417",15936,2.67
"418",15946,2.74
"419",15954,1.52
"420",15960,1.89
"421",15964,3.08
"422",15975,2.61
"423",15980,3.02
"424",15985,3.31
"425",15996,17.7
"426",16001,14.9
"427",16008,21
"428",16014,4.28
"429",16024,13.9
"430",16028,7.98
"431",16034,18.4
"432",16043,7.3
"433",16051,3.83
"434",16055,3.57
"435",16073,14.8
"436",16087,11.9
"437",16094,11.9
"438",16100,9.87
"439",16106,6.91
"440",16112,6.84
"441",16119,6.47
"442",16128,5.14
"443",16133,5.4
"444",16140,4.5
"445",16147,3.66
"446",16157,3.08
"447",16162,3.06
"448",16170,2.94
"449",16176,2.98
"450",16184,3
"451",16191,3.08
"452",16199,2.79
"453",16203,6.3
"454",16213,17.7
"455",16219,19.3
"456",16224,5.47
"457",16234,2.28
"458",16241,2.31
"459",16244,2.43
"460",16253,3.34
"461",16261,2.83
"462",16268,2.81
"463",16274,3.84
"464",16282,3.05
"465",16287,1.85
"466",16293,6.26
"467",16300,2.02
"468",16310,2.59
"469",16317,3.74
"470",16325,3.34
"471",16328,3.5
"472",16337,3.31
"473",16344,3.76
"474",16353,4.7
"475",16359,15.8
"476",16363,7.32
"477",16370,2.42
"478",16378,2.05
"479",16386,14.5
"480",16395,13.7
"481",16400,12.4
"482",16407,10.3
"483",16413,11.7
"484",16422,14.3
"485",16444,10.9
"486",16447,12
"487",16458,7.6
"488",16461,10.3
"489",16472,8.34
"490",16475,7.85
"491",16483,6.04
"492",16489,6.72
"493",16500,5.24
"494",16506,4.66
"495",16513,4.11
"496",16520,4.1
"497",16526,3.42
"498",16532,3.08
"499",16541,2.67
"500",16546,2.05
"501",16555,3.19
"502",16562,4.66
"503",16567,1.63
"504",16573,1.75
"505",16584,2.78
"506",16590,2.32
"507",16596,1.91
"508",16602,2.32
"509",16609,1.96
"510",16616,0.963
"511",16626,1.02
"512",16630,1.42
"513",16640,1.25
"514",16643,4.05
"515",16658,1.21
"516",16665,1.6
"517",16674,5.19
"518",16682,2.18
"519",16685,2.3
"520",16693,2.62
"521",16699,12.1
"522",16717,5.73
"523",16721,3.77
"524",16727,2.73
"525",16734,3.38
"526",16744,2.88
"527",16752,7.89
"528",16759,12.9
"529",16765,16.3
"530",16771,17.6
"531",16778,11
"532",16783,16.5
"533",16806,13.2
"534",16814,11.3
"535",16819,11.5
"536",16825,12.3
"537",16833,9.55
"538",16840,8.97
"539",16846,7.43
"540",16853,6.65
"541",16861,5.31
"542",16871,8.24
"543",16875,6.95
"544",16881,5.5
"545",16906,6.28
"546",16931,1.95
"547",16962,3.52
"548",16989,2.57
"549",17044,3.27
"550",17050,3.37
"551",17077,3.73
"552",17113,3.78
"553",17141,5.12
"554",17204,13.1
"555",17207,15.5
"556",17238,10.3
"557",17261,3.07
"558",17297,3.84
