,Date,Result
394,12466.0,
395,12467.0,
396,12468.0,
397,12469.0,
398,12470.0,
399,12471.0,
400,12472.0,
401,12473.0,
402,12474.0,
403,12475.0,
404,12476.0,
405,12477.0,
406,12478.0,
407,12479.0,
408,12480.0,18.0
409,12481.0,
410,12482.0,
411,12483.0,
412,12484.0,
413,12485.0,
414,12486.0,
415,12487.0,
416,12488.0,
417,12489.0,
418,12490.0,
419,12491.0,
420,12492.0,
421,12493.0,
422,12494.0,
423,12495.0,
424,12496.0,
425,12497.0,
426,12498.0,
427,12499.0,15.6
428,12500.0,
429,12501.0,
430,12502.0,
431,12503.0,
432,12504.0,
433,12505.0,
434,12506.0,
435,12507.0,
436,12508.0,
437,12509.0,
438,12510.0,
439,12511.0,
440,12512.0,
441,12513.0,
442,12514.0,
443,12515.0,
444,12516.0,
445,12517.0,
446,12518.0,
447,12519.0,
448,12520.0,
449,12521.0,
450,12522.0,
451,12523.0,
452,12524.0,
453,12525.0,
454,12526.0,
455,12527.0,
456,12528.0,
457,12529.0,
458,12530.0,
459,12531.0,
460,12532.0,
461,12533.0,
462,12534.0,
463,12535.0,7.58
464,12536.0,
465,12537.0,
466,12538.0,
467,12539.0,
468,12540.0,
469,12541.0,
470,12542.0,
471,12543.0,
472,12544.0,
473,12545.0,
474,12546.0,
475,12547.0,
476,12548.0,
477,12549.0,
478,12550.0,
479,12551.0,
480,12552.0,
481,12553.0,
482,12554.0,
483,12555.0,7.77
484,12556.0,
485,12557.0,
486,12558.0,
487,12559.0,
488,12560.0,
489,12561.0,
490,12562.0,
491,12563.0,
492,12564.0,
493,12565.0,
494,12566.0,
495,12567.0,
496,12568.0,
497,12569.0,
498,12570.0,
499,12571.0,
500,12572.0,
501,12573.0,
502,12574.0,
503,12575.0,
504,12576.0,
505,12577.0,
506,12578.0,
507,12579.0,
508,12580.0,
509,12581.0,
510,12582.0,
511,12583.0,2.67
512,12584.0,
513,12585.0,
514,12586.0,
515,12587.0,
516,12588.0,
517,12589.0,
518,12590.0,
519,12591.0,
520,12592.0,
521,12593.0,
522,12594.0,
523,12595.0,
524,12596.0,
525,12597.0,
526,12598.0,
527,12599.0,
528,12600.0,
529,12601.0,
530,12602.0,
531,12603.0,
532,12604.0,
533,12605.0,
534,12606.0,
535,12607.0,
536,12608.0,
537,12609.0,
538,12610.0,
539,12611.0,
540,12612.0,
541,12613.0,
542,12614.0,
543,12615.0,
544,12616.0,
545,12617.0,
546,12618.0,
547,12619.0,
548,12620.0,
549,12621.0,
550,12622.0,
551,12623.0,
552,12624.0,
553,12625.0,
554,12626.0,
555,12627.0,
556,12628.0,
557,12629.0,
558,12630.0,
559,12631.0,
560,12632.0,
561,12633.0,
562,12634.0,
563,12635.0,
564,12636.0,
565,12637.0,
566,12638.0,
567,12639.0,
568,12640.0,
569,12641.0,
570,12642.0,
571,12643.0,
572,12644.0,
573,12645.0,
574,12646.0,3.6
575,12647.0,
576,12648.0,
577,12649.0,
578,12650.0,
579,12651.0,
580,12652.0,
581,12653.0,
582,12654.0,
583,12655.0,
584,12656.0,9.75
585,12657.0,
586,12658.0,
587,12659.0,
588,12660.0,
589,12661.0,
590,12662.0,
591,12663.0,
592,12664.0,
593,12665.0,
594,12666.0,
595,12667.0,
596,12668.0,
597,12669.0,
598,12670.0,
599,12671.0,
600,12672.0,
601,12673.0,
602,12674.0,
603,12675.0,
604,12676.0,
605,12677.0,
606,12678.0,
607,12679.0,
608,12680.0,
609,12681.0,
610,12682.0,
611,12683.0,
612,12684.0,
613,12685.0,
614,12686.0,
615,12687.0,
616,12688.0,
617,12689.0,
618,12690.0,
619,12691.0,
620,12692.0,
621,12693.0,
622,12694.0,
623,12695.0,
624,12696.0,
625,12697.0,
626,12698.0,
627,12699.0,
628,12700.0,
629,12701.0,
630,12702.0,
631,12703.0,
632,12704.0,
633,12705.0,
634,12706.0,
635,12707.0,
636,12708.0,
637,12709.0,
638,12710.0,
639,12711.0,
640,12712.0,19.6
641,12713.0,
642,12714.0,
643,12715.0,
644,12716.0,
645,12717.0,
646,12718.0,
647,12719.0,
648,12720.0,
649,12721.0,
650,12722.0,
651,12723.0,
652,12724.0,
653,12725.0,
654,12726.0,
655,12727.0,
656,12728.0,
657,12729.0,
658,12730.0,
659,12731.0,
660,12732.0,5.96
661,12733.0,
662,12734.0,
663,12735.0,
664,12736.0,
665,12737.0,
666,12738.0,
667,12739.0,
668,12740.0,
669,12741.0,
670,12742.0,
671,12743.0,
672,12744.0,
673,12745.0,
674,12746.0,
675,12747.0,9.97
676,12748.0,
677,12749.0,
678,12750.0,
679,12751.0,
680,12752.0,
681,12753.0,
682,12754.0,
683,12755.0,
684,12756.0,
685,12757.0,
686,12758.0,
687,12759.0,
688,12760.0,
689,12761.0,
690,12762.0,
691,12763.0,
692,12764.0,
693,12765.0,7.2
694,12766.0,
695,12767.0,
696,12768.0,
697,12769.0,
698,12770.0,
699,12771.0,
700,12772.0,
701,12773.0,
702,12774.0,
703,12775.0,
704,12776.0,
705,12777.0,
706,12778.0,
707,12779.0,
708,12780.0,
709,12781.0,
710,12782.0,
711,12783.0,
712,12784.0,
713,12785.0,
714,12786.0,
715,12787.0,
716,12788.0,
717,12789.0,
718,12790.0,
719,12791.0,
720,12792.0,
721,12793.0,
722,12794.0,
723,12795.0,
724,12796.0,
725,12797.0,
726,12798.0,
727,12799.0,
728,12800.0,
729,12801.0,
730,12802.0,
731,12803.0,
732,12804.0,
733,12805.0,
734,12806.0,
735,12807.0,
736,12808.0,
737,12809.0,
738,12810.0,
739,12811.0,
740,12812.0,
741,12813.0,
742,12814.0,
743,12815.0,
744,12816.0,11.3
745,12817.0,
746,12818.0,
747,12819.0,
748,12820.0,
749,12821.0,
750,12822.0,
751,12823.0,
752,12824.0,
753,12825.0,
754,12826.0,
755,12827.0,
756,12828.0,
757,12829.0,
758,12830.0,
759,12831.0,
760,12832.0,
761,12833.0,
762,12834.0,
763,12835.0,12.4
764,12836.0,
765,12837.0,
766,12838.0,
767,12839.0,
768,12840.0,
769,12841.0,
770,12842.0,
771,12843.0,
772,12844.0,
773,12845.0,
774,12846.0,
775,12847.0,
776,12848.0,
777,12849.0,
778,12850.0,
779,12851.0,
780,12852.0,
781,12853.0,
782,12854.0,
783,12855.0,
784,12856.0,
785,12857.0,
786,12858.0,
787,12859.0,
788,12860.0,
789,12861.0,
790,12862.0,
791,12863.0,6.96
792,12864.0,
793,12865.0,
794,12866.0,
795,12867.0,
796,12868.0,
797,12869.0,
798,12870.0,
799,12871.0,
800,12872.0,
801,12873.0,
802,12874.0,
803,12875.0,
804,12876.0,
805,12877.0,
806,12878.0,
807,12879.0,
808,12880.0,
809,12881.0,
810,12882.0,
811,12883.0,
812,12884.0,
813,12885.0,
814,12886.0,
815,12887.0,
816,12888.0,
817,12889.0,
818,12890.0,
819,12891.0,
820,12892.0,
821,12893.0,
822,12894.0,6.0
823,12895.0,
824,12896.0,
825,12897.0,
826,12898.0,
827,12899.0,
828,12900.0,
829,12901.0,
830,12902.0,
831,12903.0,
832,12904.0,
833,12905.0,
834,12906.0,
835,12907.0,
836,12908.0,
837,12909.0,
838,12910.0,
839,12911.0,
840,12912.0,
841,12913.0,
842,12914.0,
843,12915.0,
844,12916.0,
845,12917.0,
846,12918.0,
847,12919.0,
848,12920.0,
849,12921.0,
850,12922.0,
851,12923.0,1.94
852,12924.0,
853,12925.0,
854,12926.0,
855,12927.0,
856,12928.0,
857,12929.0,
858,12930.0,
859,12931.0,
860,12932.0,
861,12933.0,
862,12934.0,
863,12935.0,
864,12936.0,
865,12937.0,
866,12938.0,
867,12939.0,
868,12940.0,
869,12941.0,
870,12942.0,
871,12943.0,
872,12944.0,
873,12945.0,
874,12946.0,
875,12947.0,
876,12948.0,
877,12949.0,
878,12950.0,
879,12951.0,
880,12952.0,
881,12953.0,
882,12954.0,
883,12955.0,
884,12956.0,
885,12957.0,
886,12958.0,
887,12959.0,
888,12960.0,
889,12961.0,
890,12962.0,1.78
891,12963.0,
892,12964.0,
893,12965.0,
894,12966.0,
895,12967.0,
896,12968.0,
897,12969.0,
898,12970.0,
899,12971.0,
900,12972.0,
901,12973.0,
902,12974.0,
903,12975.0,
904,12976.0,
905,12977.0,
906,12978.0,
907,12979.0,
908,12980.0,
909,12981.0,
910,12982.0,
911,12983.0,
912,12984.0,
913,12985.0,
914,12986.0,
915,12987.0,
916,12988.0,
917,12989.0,
918,12990.0,2.42
919,12991.0,
920,12992.0,
921,12993.0,
922,12994.0,
923,12995.0,
924,12996.0,
925,12997.0,
926,12998.0,
927,12999.0,
928,13000.0,
929,13001.0,
930,13002.0,
931,13003.0,
932,13004.0,
933,13005.0,
934,13006.0,
935,13007.0,
936,13008.0,
937,13009.0,
938,13010.0,
939,13011.0,
940,13012.0,
941,13013.0,
942,13014.0,
943,13015.0,
944,13016.0,
945,13017.0,
946,13018.0,
947,13019.0,
948,13020.0,
949,13021.0,
950,13022.0,
951,13023.0,
952,13024.0,
953,13025.0,
954,13026.0,
955,13027.0,
956,13028.0,
957,13029.0,
958,13030.0,
959,13031.0,
960,13032.0,
961,13033.0,
962,13034.0,
963,13035.0,
964,13036.0,
965,13037.0,
966,13038.0,7.55
967,13039.0,
968,13040.0,
969,13041.0,
970,13042.0,
971,13043.0,
972,13044.0,
973,13045.0,
974,13046.0,
975,13047.0,
976,13048.0,
977,13049.0,
978,13050.0,
979,13051.0,
980,13052.0,
981,13053.0,
982,13054.0,
983,13055.0,2.75
984,13056.0,
985,13057.0,
986,13058.0,
987,13059.0,
988,13060.0,
989,13061.0,
990,13062.0,
991,13063.0,
992,13064.0,
993,13065.0,
994,13066.0,
995,13067.0,
996,13068.0,
997,13069.0,
998,13070.0,
999,13071.0,
1000,13072.0,
1001,13073.0,
1002,13074.0,
1003,13075.0,
1004,13076.0,
1005,13077.0,
1006,13078.0,
1007,13079.0,
1008,13080.0,
1009,13081.0,
1010,13082.0,
1011,13083.0,
1012,13084.0,
1013,13085.0,
1014,13086.0,
1015,13087.0,
1016,13088.0,
1017,13089.0,
1018,13090.0,
1019,13091.0,
1020,13092.0,
1021,13093.0,
1022,13094.0,
1023,13095.0,8.56
1024,13096.0,
1025,13097.0,
1026,13098.0,
1027,13099.0,
1028,13100.0,
1029,13101.0,
1030,13102.0,
1031,13103.0,
1032,13104.0,
1033,13105.0,
1034,13106.0,
1035,13107.0,
1036,13108.0,
1037,13109.0,
1038,13110.0,3.7
1039,13111.0,
1040,13112.0,
1041,13113.0,
1042,13114.0,
1043,13115.0,
1044,13116.0,
1045,13117.0,
1046,13118.0,
1047,13119.0,
1048,13120.0,
1049,13121.0,
1050,13122.0,
1051,13123.0,
1052,13124.0,
1053,13125.0,
1054,13126.0,
1055,13127.0,
1056,13128.0,
1057,13129.0,
1058,13130.0,
1059,13131.0,4.76
1060,13132.0,
1061,13133.0,
1062,13134.0,
1063,13135.0,
1064,13136.0,
1065,13137.0,
1066,13138.0,
1067,13139.0,
1068,13140.0,
1069,13141.0,
1070,13142.0,
1071,13143.0,
1072,13144.0,
1073,13145.0,
1074,13146.0,
1075,13147.0,
1076,13148.0,
