,ID,E,N,ID_5kmsq,OID_,UNIQUE,A1,A2,A3,A2A3,A4,A10A11,A12,A19,A21,A22,A23,A24,A25,A27,A31,A32,A99G1,B5B14,B21,B99,C1,G1,G2,G5,K201,K202,K203,K204,K205,K206,K207,K208,K209,K210,K211,K299,M1M4M7,M1,M4,M7,M9,M13M14,M17,M98,L1TOL5,L9L14,L98,N98,P90,geometry
6171,513853,447500,532500,513853447500.0,5147,513853447500.0,365.5465,112.82089,0.0,112.82089,15.19096,0.0,0.08131,0.43334,2.31724,6.89077,9.15054,150.49921,3.72572,1.26387,2.65864,74.63403,885.74786,0.0,0.0,0.0,0.04498,104.81284,358.48716,498.39,186.2085,130.14416,51.74394,163.46561,123.1443,50.39479,14.82933,35.98869,28.65368,214.29967,133.54852,1132.41354,364.97074,326.30819,9.22734,29.43521,13.78032,7.29271,483.22808,869.27121,24.55504,486.06153,510.61686,128948.04132,105.42403,POINT (-1.264736780350817 54.68531631914758)
6172,513854,452500,532500,513854452500.0,5148,513854452500.0,8.88398,7.23552,0.0,7.23552,0.23671,0.0,0.00285,0.01711,0.0,0.0,0.03422,7.24693,0.0,0.05133,0.0,4.70295,32.22404,0.0,0.0,0.0,0.00285,3.70689,3.34311,116.66,2.83352,1.98039,0.78738,2.48744,1.87388,0.76685,0.22565,0.54763,0.43602,3.26098,2.0322,17.23185,47.51537,42.48191,1.2013,3.83216,1.79405,0.94943,62.91124,113.17001,0.70195,13.89495,14.59691,3686.21358,1.60423,POINT (-1.187189004172685 54.68482117911908)
6173,513954,302500,537500,513954302500.0,5149,513954302500.0,0.0,3.20712,9.10442,12.31154,0.0,1.30393,0.0,0.42309,0.0,0.0,0.06064,0.00577,0.0,0.0,0.0,0.335,44.65245,0.0,0.0,0.0,0.0,30.21244,169.73755,45.63,43.0954,28.49082,27.26205,40.45311,41.55271,25.64274,11.34704,14.88662,26.66877,38.03209,86.66351,384.09664,340.52749,300.58116,19.82118,20.12514,10.90781,12.19988,458.74775,822.38242,1.39508,25.93486,27.32995,380.307,5.50719,POINT (-3.515310975510609 54.72300559873997)
6174,513955,307500,537500,513955307500.0,5150,513955307500.0,108.68648,100.36718,194.67692,295.0441,0.25805,0.97938,0.12659,0.467,0.16554,0.03408,53.52228,62.47102,0.0,0.03408,1.93717,7.49016,709.31616,0.0,0.0,0.0,0.0,169.66616,1220.08384,139.33,297.26172,209.22856,168.42395,260.0707,279.16433,161.85466,76.72727,105.65518,161.33334,296.24331,548.39774,2564.3676,2355.94259,2037.25112,145.66678,173.0247,69.17797,100.30651,3135.45867,5660.88302,11.17372,194.61398,205.78776,9065.59605,33.70891,POINT (-3.437708613756242 54.72395095393601)
6175,513956,312500,537500,513956312500.0,5151,513956312500.0,87.26902,82.92775,214.96812,297.89588,0.31524,0.79135,0.15464,1.09467,0.20223,0.04163,5.28773,0.96562,0.0,0.04163,38.6944,20.49196,709.23213,0.0,0.0,0.0,0.0,239.93213,1493.22787,136.32,395.82459,311.65275,166.45415,306.25246,345.59957,167.88617,94.2571,146.12247,152.13454,480.96222,586.69892,3153.8386,3413.42584,2871.64816,226.26931,315.50837,86.66006,173.48107,4454.30306,8127.86767,10.30524,141.87534,152.1806,20789.76169,33.10608,POINT (-3.360101852852745 54.724846650747)
6176,513957,317500,537500,513957317500.0,5152,513957317500.0,19.15957,16.31069,94.09472,110.40541,0.0,0.33795,0.0,0.28579,0.0,0.0,1.89397,0.0607,0.0,0.0,8.39488,2.55013,333.68701,0.0,0.00026,0.00026,0.0,185.89727,1723.23273,162.76,558.76716,461.08079,174.48274,434.31386,445.53909,176.78411,114.36043,201.8539,160.60632,732.84414,683.245,4143.85514,3914.13154,3297.10684,246.83892,370.18579,92.87058,187.16665,4990.62646,9184.79268,11.30959,137.77135,149.08094,12617.75192,37.09286,POINT (-3.282490929819808 54.72569268316762)
6177,513958,322500,537500,513958322500.0,5153,513958322500.0,3.81408,7.46373,68.85204,76.31577,0.0,1.16503,0.03915,2.29652,0.05133,0.01131,3.31607,0.04567,0.0,0.01131,0.64083,2.92808,191.59416,0.0,0.69482,0.69482,0.00783,100.94682,1901.67318,250.86,356.25499,291.90372,97.47892,155.34515,194.79019,95.34256,60.43994,122.75275,72.4663,583.40334,388.63585,2418.79481,4409.54323,3523.44703,183.75594,702.34026,101.70806,274.6164,4701.94727,9487.81707,2.50662,54.22184,56.72847,1037.17588,23.24838,POINT (-3.204876081757021 54.72648904552491)
6178,513959,327500,537500,513959327500.0,5154,513959327500.0,6.92672,1.83705,12.49546,14.33251,0.0,0.51602,0.0711,0.75982,0.09322,0.02054,0.1043,0.01264,0.0,0.02054,0.02212,2.47524,148.34247,0.0,0.21536,0.21536,0.01771,122.96555,1288.66445,990.78,313.70414,226.56475,137.49637,177.16236,161.96019,129.50218,59.94434,89.4864,111.86747,383.12117,511.66085,2302.47231,4489.12785,3707.17125,193.5365,588.4201,94.61978,193.80914,4923.96994,9701.52628,0.92661,113.74585,114.67254,4007.23974,15.34608,POINT (-3.127257545839286 54.72723573247858)
6179,513960,332500,537500,513960332500.0,5155,513960332500.0,1.5228,7.66409,10.99718,18.66127,0.0,0.02256,0.0,0.0,0.0,0.0,0.05499,0.00564,0.0,0.0,0.0,0.28171,106.93131,0.0,0.0,0.0,0.03102,86.38233,1210.80767,1001.6,246.75267,206.14149,79.29843,200.59584,149.24953,69.14126,59.02886,76.26407,69.05514,370.22276,320.29727,1846.03679,4599.54867,3890.6861,185.14436,523.71822,90.00247,113.28858,4949.34972,9752.18721,0.45164,0.68298,1.13462,10385.6042,19.41872,POINT (-3.049635559312315 54.72793273902094)
6180,513961,337500,537500,513961337500.0,5156,513961337500.0,28.1013,39.4665,55.43815,94.90465,0.0,0.00577,0.0,0.0,0.0,0.0,0.01407,0.00144,0.0,0.0,0.0,1.73481,356.04969,0.0,0.0,0.0,0.00794,231.28763,1874.56237,146.56,562.01417,310.39245,317.02012,339.33041,257.93331,317.06298,125.0996,125.20699,278.86163,452.33538,1162.15159,4247.44398,4179.84545,3560.44604,258.36364,361.03578,113.30224,174.84138,5325.82295,9793.80843,3.45078,14.58398,18.03465,22544.56232,37.26974,POINT (-2.972010359488057 54.72858006047716)
